downtime_duration_sec,is_burst
60.0,False
540.0,False
90.0,True
270.0,False
465.0,False
510.0,False
60.0,False
105.0,True
195.0,True
120.0,True
195.0,True
300.0,True
135.0,False
240.0,True
180.0,True
75.0,False
75.0,False
135.0,True
105.0,True
149.0,True
375.0,True
225.0,True
75.0,False
91.0,False
60.0,True
270.0,False
60.0,False
60.0,False
210.0,True
105.0,True
135.0,True
105.0,False
7351.0,False
60.0,False
90.0,False
135.0,True
240.0,True
480.0,False
90.0,False
120.0,False
180.0,False
210.0,False
555.0,False
300.0,False
2325.0,False
105.0,False
180.0,True
120.0,True
120.0,False
645.0,False
90.0,False
405.0,False
585.0,False
75.0,False
90.0,True
210.0,True
195.0,False
105.0,True
225.0,True
210.0,True
75.0,True
225.0,True
240.0,True
60.0,False
75.0,True
2385.0,False
75.0,False
120.0,True
285.0,True
195.0,False
75.0,False
105.0,False
240.0,False
90.0,True
180.0,False
300.0,True
90.0,False
60.0,False
60.0,True
120.0,True
225.0,False
90.0,False
60.0,False
75.0,False
60.0,True
105.0,True
195.0,False
1167.0,True
5753.0,False
105.0,True
435.0,True
150.0,False
405.0,False
165.0,False
795.0,False
525.0,False
195.0,False
105.0,False
75.0,True
120.0,True
795.0,False
75.0,False
90.0,False
255.0,False
90.0,True
390.0,True
1065.0,False
90.0,False
225.0,False
75.0,False
315.0,True
135.0,False
60.0,True
75.0,True
135.0,True
60.0,False
841.0,True
510.0,True
75.0,True
225.0,True
166.0,True
255.0,True
75.0,True
75.0,True
61.0,True
121.0,True
256.0,True
135.0,True
615.0,True
270.0,False
105.0,True
105.0,True
225.0,True
555.0,False
210.0,False
600.0,False
120.0,False
180.0,True
255.0,True
90.0,True
6240.0,True
135.0,False
135.0,True
210.0,True
750.0,True
405.0,False
180.0,False
120.0,True
150.0,False
120.0,False
